chr	start_bp	end_bp	pass	median_depth	pass_depth	length_kb	pass_length	mapp	pass_mapp	gc	pass_gc
22	22038992	22039252	1	64	1	0.261	1	1	1	57.09	1
22	22040721	22040897	1	48	1	0.177	1	1	1	60.45	1
22	22041131	22041337	1	76	1	0.207	1	1	1	63.77	1
22	22041882	22042071	1	100	1	0.19	1	1	1	49.47	1
22	22042311	22042445	1	83	1	0.135	1	1	1	62.22	1
22	22042971	22043188	1	81	1	0.218	1	1	1	64.22	1
22	22048054	22048211	1	97.5	1	0.158	1	1	1	58.86	1
22	22048831	22049156	1	123	1	0.326	1	1	1	63.5	1
22	22049176	22049409	1	109	1	0.234	1	1	1	65.81	1
22	22049633	22049829	0	18	0	0.197	1	1	1	64.47	1
22	22055368	22055557	1	77	1	0.19	1	1	1	38.95	1
22	22057609	22057817	1	59.5	1	0.209	1	1	1	65.55	1
22	22058077	22058221	0	11	0	0.145	1	1	1	62.76	1
22	22064867	22065083	1	211	1	0.217	1	1	1	48.85	1
22	22123443	22123659	1	174.5	1	0.217	1	1	1	41.01	1
22	22127112	22127321	1	91	1	0.21	1	1	1	47.14	1
22	22142496	22142727	1	213	1	0.232	1	1	1	35.34	1
22	22142933	22143147	1	92.5	1	0.215	1	1	1	45.58	1
22	22153251	22153467	1	99	1	0.217	1	1	1	40.55	1
22	22160089	22160378	1	226.5	1	0.29	1	1	1	41.03	1
22	22161903	22162185	1	189	1	0.283	1	1	1	40.99	1
22	22221562	22221768	0	0	0	0.207	1	1	1	79.23	1
22	22277415	22277894	1	124	1	0.48	1	1	1	65.21	1
22	22279892	22280085	1	40	1	0.194	1	1	1	62.37	1
22	22285470	22285712	1	101.5	1	0.243	1	1	1	62.14	1
22	22287713	22288001	1	58	1	0.289	1	1	1	64.36	1
22	22288346	22288648	0	10	0	0.303	1	1	1	62.38	1
22	22293854	22294102	1	22.5	1	0.249	1	1	1	59.04	1
22	22300165	22300470	1	54.5	1	0.306	1	1	1	66.34	1
22	22311436	22312017	0	14	0	0.582	1	0.542316258351893	0	65.46	1
22	22312814	22313115	1	65.5	1	0.302	1	1	1	61.26	1
22	22313454	22313654	1	61	1	0.201	1	1	1	60.7	1
22	22313909	22314158	1	120	1	0.25	1	1	1	61.6	1
22	22314643	22314871	1	54.5	1	0.229	1	1	1	61.57	1
22	22316751	22317024	1	73	1	0.274	1	1	1	66.79	1
22	22317069	22317315	1	63	1	0.247	1	1	1	61.54	1
22	22318245	22318450	1	43	1	0.206	1	1	1	62.14	1
22	22318483	22318737	1	60	1	0.255	1	1	1	63.92	1
22	22319607	22319797	1	24	1	0.191	1	1	1	54.97	1
22	22321925	22322138	1	99.5	1	0.214	1	1	1	49.53	1
22	22322941	22323197	1	231.5	1	0.257	1	1	1	47.86	1
22	22324532	22324828	1	48	1	0.297	1	1	1	62.29	1
22	22326198	22326373	1	44.5	1	0.176	1	1	1	57.95	1
22	22326934	22327140	1	38.5	1	0.207	1	1	1	56.04	1
22	22328679	22328910	1	45	1	0.232	1	1	1	57.33	1
22	22329961	22330131	1	41	1	0.171	1	1	1	49.12	1
22	22599175	22599725	1	190.5	1	0.551	1	1	1	60.44	1
22	22842042	22843773	1	1502.5	1	1.732	1	0.990320629159105	1	40.53	1
